Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ASD,SCZ-Relative,381,138,0.506,0.391,0.0448,0.392,0.001,0.196,0.061,0.1843,Female,0.115
ASD,SMC,381,59,0.506,0.467,0.47095,0.375,-0.175,0.1,0.03,0.8979,Female,0.039
ASD,SPECIFIC PHOBIA,381,159,0.506,0.416,0.55554,0.242,-0.129,0.056,0.018,0.9394,Female,0.09
ASD,Subacute Pain,381,28,0.506,0.43,0.77152,0.444,-0.326,0.059,0.019,1,Female,0.076
Attention & Learning difficulty,BD,99,111,0.205,0.497,0.0002,-0.351,-0.91,-0.631,-0.179,0.004,Female,-0.293
Attention & Learning difficulty,BIPOLAR/PSYCH-RELATIVE,99,47,0.205,0.515,0.002,-0.257,-0.971,-0.614,-0.181,0.0194,Female,-0.31
Attention & Learning difficulty,Chronic Pain,99,63,0.205,0.48,0.0006,-0.277,-0.927,-0.602,-0.18,0.0087,Female,-0.276
Attention & Learning difficulty,DEMENTIA - LBD,99,21,0.205,0.479,0.0304,-0.066,-1.028,-0.547,-0.167,0.1428,Female,-0.274
Attention & Learning difficulty,EMCI,99,139,0.205,0.408,0.0018,-0.179,-0.703,-0.441,-0.125,0.0186,Female,-0.204
Attention & Learning difficulty,LMCI,99,216,0.205,0.477,0.0002,-0.326,-0.812,-0.569,-0.162,0.004,Female,-0.272
Attention & Learning difficulty,MCI,99,253,0.205,0.466,0.0002,-0.294,-0.767,-0.531,-0.168,0.004,Female,-0.261
Attention & Learning difficulty,MCI-Risk,99,0,0.205,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
Attention & Learning difficulty,MDD,99,3461,0.205,0.492,0.0002,-0.418,-0.819,-0.619,-0.178,0.004,Female,-0.287
Attention & Learning difficulty,ND,99,100,0.205,0.306,0.21018,0.105,-0.455,-0.175,-0.053,0.5144,Female,-0.101
Attention & Learning difficulty,OCD,99,74,0.205,0.495,0.0004,-0.344,-0.967,-0.656,-0.186,0.0066,Female,-0.291
Attention & Learning difficulty,Other,99,117,0.205,0.519,0.0002,-0.371,-0.923,-0.647,-0.184,0.004,Female,-0.314
Attention & Learning difficulty,OTHER,99,56,0.205,0.276,0.29517,0.158,-0.504,-0.173,-0.055,0.6384,Female,-0.071
Attention & Learning difficulty,Other Psychiatric,99,111,0.205,0.394,0.0028,-0.149,-0.7,-0.424,-0.121,0.0241,Female,-0.189
